9913,作战,anger,0.712,21
9914,作战,fear,0.615,21
9915,作战,sadness,0.5,21
9916,作呕,disgust,0.703,7
9917,作弊,anger,0.63,15
9918,作弊,disgust,0.508,15
9919,佐证,trust,0.57,5
9923,遵守,anticipation,0.367,81
9924,遵守,fear,0.016,81
9925,遵守,trust,0.578,81
9926,尊重,anticipation,0.438,230
9927,尊重,joy,0.5,230
9928,尊重,sadness,0.172,230
9929,尊重,trust,0.75,230
9930,尊严,joy,0.5,60
9931,尊严,trust,0.672,60
9933,尊敬,anticipation,0.422,22
9934,尊敬,joy,0.594,22
9935,尊敬,trust,0.766,22
9936,醉,disgust,0.539,23
9937,罪人,anger,0.331,86
9938,罪人,disgust,0.594,86
9939,罪人,fear,0.483,86
9940,罪人,sadness,0.609,86
9941,罪孽,disgust,0.445,9
9942,罪行,anger,0.469,70
9943,罪行,disgust,0.5,70
9944,罪行,fear,0.422,70
9945,罪行,sadness,0.484,70
9953,最后通牒,anger,0.439,2
9954,最后通牒,fear,0.422,2
9964,最高,anticipation,0.491,117
9965,最高,fear,0.236,117
9966,最高,joy,0.591,117
9967,最高,surprise,0.344,117
9968,最低,sadness,0.478,35
9969,钻石,joy,0.5,25
9970,祖先,joy,0.188,34
9971,祖先,trust,0.539,34
9972,祖父,trust,0.68,1
9974,组织,anticipation,0.203,373
9975,组织,joy,0.156,373
9976,组织,surprise,0.125,373
9977,组织,trust,0.516,373
9978,阻挠,anger,0.604,13
9979,阻挠,disgust,0.352,13
9980,阻挠,sadness,0.469,13
9981,阻挠,surprise,0.547,13
9982,阻碍,anger,0.542,26
9983,阻碍,fear,0.438,26
9984,阻碍,sadness,0.422,26
9985,诅咒,anger,0.906,21
9986,诅咒,disgust,0.547,21
9987,诅咒,fear,0.812,21
9988,诅咒,sadness,0.75,21
9989,足球,anticipation,0.469,71
9990,足球,joy,0.25,71
9994,走私,fear,0.565,10
9997,纵火,anger,0.641,6
9998,纵火,fear,0.794,6
10001,宗教,trust,0.469,17
10008,字母,anticipation,0.398,2
10009,字母,trust,0.359,2
10010,字典,trust,0.523,3
10011,字,trust,0.477,159
10013,自由,anticipation,0.555,1121
10014,自由,joy,0.561,1121
10015,自由,surprise,0.312,1121
10016,自由,trust,0.742,1121
10019,自私,anger,0.469,317
10020,自私,disgust,0.453,317
10023,自杀,anger,0.636,51
10024,自杀,disgust,0.695,51
10025,自杀,fear,0.898,51
10026,自杀,sadness,0.941,51
10028,自如,joy,0.606,1
10029,自如,trust,0.516,1
10032,自豪,joy,0.516,69
10033,自负,disgust,0.445,30
10046,资源,joy,0.288,275
10047,资源,trust,0.43,275
10048,资格,sadness,0.375,159
10052,卓越,disgust,0.141,5
10053,卓越,joy,0.818,5
10054,卓越,surprise,0.5,5
10055,卓越,trust,0.727,5
10060,捉拿,surprise,0.492,2
10063,准确性,anticipation,0.445,5
10064,准确性,joy,0.5,5
10065,准确性,surprise,0.414,5
10066,准确性,trust,0.477,5
10067,准确,trust,0.625,99
10073,准备,anticipation,0.633,703
10074,准备,trust,0.703,703
10075,追求,joy,0.176,63
10076,追求,trust,0.398,63
10077,追,fear,0.516,45
10078,壮丽,anticipation,0.57,2
10079,壮丽,joy,0.797,2
10080,壮丽,trust,0.609,2
10081,壮观,anticipation,0.641,2
10082,壮观,joy,0.912,2
10083,壮观,surprise,0.688,2
10084,装修,anticipation,0.516,2
10085,装修,joy,0.333,2
10088,赚,trust,0.562,150
10089,转弯,fear,0.344,10
10090,转弯,surprise,0.508,10
10093,转,disgust,0.133,90
10103,抓住,surprise,0.32,67
10104,抓,anger,0.557,171
10105,抓,anticipation,0.555,171
10106,著名,anticipation,0.641,19
10107,著名,joy,0.859,19
10109,祝贺,joy,0.719,29
10110,祝福,anticipation,0.578,46
10111,祝福,joy,0.844,46
10112,祝福,surprise,0.352,46
10113,祝福,trust,0.625,46
10114,柱头,anger,0.348,1
10115,柱头,disgust,0.453,1
10116,柱头,fear,0.455,1
10117,柱头,sadness,0.438,1
10118,驻军,trust,0.367,6
10119,注重,trust,0.438,27
10122,注射器,fear,0.484,2
10123,注射,fear,0.609,196
